96105145,10,10,15,12,22,69
96105156,10,4,20,18,27,79
96105167,2,2,15,8,18,45
96105178,10,2,20,10,24,66
96105189,10,3,18,6,22,59
96105191,0,2,2,0,8,12
96105207,1,3,20,17,22,63
96105218,10,9,15,11,18,63
96105229,0,12,17,12,24,65
96105231,2,3,15,13,18,51
96105242,0,1,11,10,18,40
96105253,0,2,5,6,6,19
96105264,10,4,19,20,22,75
96105275,10,20,15,20,28,93
96105286,10,3,20,17,25,75
96105297,6,3,20,15,23,67
96105304,6,7,20,2,17,52
96105315,10,4,15,4,17,50
96105326,10,3,14,12,18,57
96105337,10,2,18,20,23,73
96105348,10,2,14,20,24,70
96105359,8,4,20,0,21,53
96105361,2,3,15,20,23,63
96105372,10,3,6,15,22,56
96105383,0,3,18,19,22,62
96105394,10,14,20,20,26,90
96105401,0,4,4,0,5,13
96105412,8,3,2,0,9,22
96105423,10,10,12,4,25,61
96105434,10,11,20,20,30,91
96105445,10,11,18,10,16,65
96105456,10,10,18,18,23,79
96105467,10,20,19,20,24,93
96105478,9,10,20,12,18,69
96105489,10,10,10,2,21,53
96105491,10,2,20,12,18,62
96105507,10,3,12,16,23,64
96105518,10,10,20,20,25,85
96105529,0,3,20,19,24,66
96105531,10,3,20,17,22,72
96105542,10,10,20,10,30,80
96105553,10,12,20,20,30,92
96105564,10,20,18,20,30,98
96105575,10,10,16,18,30,84
96105586,10,11,20,20,28,89
96105597,7,2,20,20,23,72
96105604,10,3,15,10,28,66
96105615,5,11,20,0,20,56
96105626,10,20,18,5,22,75
96105637,10,3,20,10,14,57
96105648,10,3,20,12,24,69
96105659,10,3,17,17,24,71
96105661,0,3,8,14,26,51
96105672,8,10,20,12,28,78
96105683,10,11,18,10,22,71
96105694,10,10,18,8,26,72
96105701,10,11,19,18,24,82
96105712,10,2,20,18,30,80
96105723,8,3,10,17,13,51
96105734,10,20,20,8,28,86
96105745,10,13,20,15,17,75
96105756,2,12,18,0,20,52
96105767,10,13,20,20,30,93
96105778,10,5,18,12,16,61
96105789,5,3,13,2,16,39
96105791,0,2,8,2,23,35
96105807,10,20,17,20,28,95
96105818,10,2,18,0,20,50
96105829,10,11,15,12,25,73
96105831,10,10,13,13,28,74
96105842,5,3,18,1,16,43
96105853,10,20,20,13,28,91
96105864,10,3,18,10,28,69
96105875,10,13,20,20,19,82
96105886,10,3,20,20,26,79
96105897,10,5,20,19,27,81
96105904,10,20,20,20,30,100
96105915,10,10,20,19,30,89
96105926,8,2,17,5,26,58
96105937,1,7,20,18,18,64
96105948,10,20,19,7,30,86
96105959,10,2,20,18,27,77
96105961,10,15,20,20,29,94
96105972,10,12,15,20,27,84
96105983,10,3,20,12,27,72
96105994,10,12,17,3,29,71
96106009,1,2,12,10,13,38
96106011,10,13,20,20,24,87
96106022,10,1,13,12,21,57
96106033,10,10,15,10,24,69
96106044,10,11,20,20,30,91
96106055,9,13,20,20,24,86
96106066,10,20,20,20,30,100
96106077,10,3,20,20,30,83
96106088,5,3,18,11,26,63
96106099,10,20,20,20,30,100
96106106,0,2,7,2,9,20
